Service Tag,BUID,Product ID,Country Code,LOB,Machine Description,Ship Date,ProductLine Description,Item number,Start Date,End Date,Service Level Description,Entitlement Type,Service Provider,Last Updated
F63W3Z2,1717,latitude-14-5400-laptop,IN,Latitude,Latitude 5400,12-03-2019 00:30,LATITUDE 5400,709-17415,12-02-2019 00:30,12-03-2020 00:29,Carry-in Svc/Return to Base,INITIAL,,09-07-2023 19:54
F63W3Z2,1717,latitude-14-5400-laptop,IN,Latitude,Latitude 5400,12-03-2019 00:30,LATITUDE 5400,883-10171,12-02-2019 00:30,12-03-2020 00:29,Information SKU,INITIAL,,09-07-2023 19:54
F63W3Z2,1717,latitude-14-5400-laptop,IN,Latitude,Latitude 5400,12-03-2019 00:30,LATITUDE 5400,865-94053,12-03-2019 00:30,12-04-2020 00:29,ProSupport Flex for Client,INITIAL,,09-07-2023 19:54
F63W3Z2,1717,latitude-14-5400-laptop,IN,Latitude,Latitude 5400,12-03-2019 00:30,LATITUDE 5400,865-94054,12-04-2020 00:30,12-05-2022 00:29,ProSupport Flex for Client,EXTENDED,,09-07-2023 19:54
DMHPQV2,1717,latitude-14-7490-laptop,IN,Latitude,Latitude 7490,05-27-2019 10:30:00 AM,LATITUDE 7490,709-14493,05-27-2019 12:30:00 AM,05-28-2022 12:29:59 AM,Next Business Day Parts Support,INITIAL,,09-07-2023 19:54
DMHPQV2,1717,latitude-14-7490-laptop,IN,Latitude,Latitude 7490,05-27-2019 10:30:00 AM,LATITUDE 7490,709-14492,05-27-2019 12:30:00 AM,05-28-2022 12:29:59 AM,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (for business Customer),INITIAL,,09-07-2023 19:54
DMHPQV2,1717,latitude-14-7490-laptop,IN,Latitude,Latitude 7490,05-27-2019 10:30:00 AM,LATITUDE 7490,303-10488,05-28-2019 12:30:00 AM,05-29-2022 12:29:59 AM,Technical Support,INITIAL,,09-07-2023 19:54
DMHPQV2,1717,latitude-14-7490-laptop,IN,Latitude,Latitude 7490,05-27-2019 10:30:00 AM,LATITUDE 7490,865-86695,05-28-2019 12:30:00 AM,05-29-2022 12:29:59 AM,ProSupport One for Data Center/ProSupport Flex for Data Center Tech Support Low,INITIAL,,09-07-2023 19:54
4B2RZY2,1717,latitude-14-7490-laptop,IN,Latitude,Latitude 7490,09-03-2019 00:30,LATITUDE 7490,709-14492,09-02-2019 00:30,09-03-2022 00:29,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (for business Customer),INITIAL,,09-07-2023 19:54
4B2RZY2,1717,latitude-14-7490-laptop,IN,Latitude,Latitude 7490,09-03-2019 00:30,LATITUDE 7490,709-14493,09-02-2019 00:30,09-03-2022 00:29,Next Business Day Parts Support,INITIAL,,09-07-2023 19:54
4B2RZY2,1717,latitude-14-7490-laptop,IN,Latitude,Latitude 7490,09-03-2019 00:30,LATITUDE 7490,303-10488,09-03-2019 00:30,09-04-2022 00:29,Technical Support,INITIAL,,09-07-2023 19:54
4B2RZY2,1717,latitude-14-7490-laptop,IN,Latitude,Latitude 7490,09-03-2019 00:30,LATITUDE 7490,865-86695,09-03-2019 00:30,09-04-2022 00:29,ProSupport One for Data Center/ProSupport Flex for Data Center Tech Support Low,INITIAL,,09-07-2023 19:54
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
